#meta  sampleObjType=ClassifiedHtSample moduleName=htMLsample
knownClassName|ID|curationState|studytype|experimenttype|modification_date|titleLength|descriptionLength|title|description
Yes|GSE1611|Done|WT vs. Mutant|transcription profiling by array|2017-10-13|139|281|Transcription profiling by array of mouse Ts1Cje (mouse model of Down syndrome) and euploids murine cerebellum during postnatal development|Transcriptome analysis of Ts1Cje (mouse model of Down syndrome) and euploids murine cerebellum during postnatal development Keywords = Down syndrome Keywords = Chromosome 21 Keywords = Transcriptome Keywords = Microarray Keywords = Cerebellum Keywords = Development Keywords: other .. P0 postnatal stage;  P15 postnatal stage;  P30 postnatal stage;  total RNA;  Ts1Cje (segmental trisomy of chromosome 16);  euploid;  Pool Eu_P0;  Pool Eu_P15;  Pool Eu_P30;  Pool Ts1Cje_P0;  Pool Ts1Cje_P15;  Pool Ts1Cje_P30;  10090;  Mus musculus;  cerebellum;
Yes|GSE9954|Done|Baseline|transcription profiling by array|2021-08-05|77|224|Transcription profiling by array of mouse embryonic stem cells and 21 tissues|We used microarrays to compare gene expression across different murine tissues. Keywords: Other Different tissues were dissected from 10-12 week old C57Bl6 mice for RNA extraction and hybridization on Affymetrix microarrays. .. C57Bl6 female mice (10-12 weeks old);  C57Bl6 male mice;  C57Bl6 male mice (10-12 weeks old);  C57Bl6 mice;  total RNA;  Mouse ES cells;  Mouse adipose tissue;  Mouse adrenal gland;  Mouse bone marrow;  Mouse brain;  Mouse diaphragm;  Mouse eye;  Mouse fetus;  Mouse heart;  Mouse kidney;  Mouse liver;  Mouse lung;  Mouse muscle;  Mouse ovary;  Mouse pituitary gland;  Mouse placenta;  Mouse salivary gland;  Mouse seminal vesicle;  Mouse small intestine;  Mouse spleen;  Mouse testis;  Mouse thymus;  10090;  Mus musculus;
Yes|GSE642|Done|WT vs. Mutant|transcription profiling by array|2018-10-25|143|143|Transcription profiling of murine db/db diabetic kidney to identify adipose differentiation-related protein and regulators of lipid homeostasis|RNA of Kidney was extracted using a Quiagen RNeasy kit. Targets were produced using standard Affymetrix procedures from about 8ug of total RNA. .. none;  total RNA;  Kidney;  10090;  Mus musculus;
Yes|GSE97|Done|Baseline|transcription profiling by array|2020-06-01|204|1177|Transcription profiling of 91 human and mouse samples across a diverse array of tissues, organs, and cell lines to provide a preliminary, but substantial, description of the normal mammalian transcriptome|High-throughput gene expression profiling has become an important tool for investigating transcriptional activity in a variety of biological samples. To date, the vast majority of these experiments have focused on specific biological processes and perturbations. Here, we have generated and analyzed gene expression from a set of samples spanning a broad range of biological conditions. Specifically, we profiled gene expression from 91 human and mouse samples across a diverse array of tissues, organs, and cell lines. Because these samples predominantly come from the normal physiological state in the human and mouse, this dataset represents a preliminary, but substantial, description of the normal mammalian transcriptome. We have used this dataset to illustrate methods of mining these data, and to reveal insights into molecular and physiological gene function, mechanisms of transcriptional regulation, disease etiology, and comparative genomics. Finally, to allow the scientific community to use this resource, we have built a free and publicly accessible website (http://expression.gnf.org) that integrates data visualization and curation of current gene annotations. .. none;  total RNA;  adipose tissue;  adrenal gland;  amygdala;  bladder;  bone;  bone marrow;  brown fat;  cerebellum;  cortex;  cortex frontal;  digits;  dorsal root ganglion;  epidermis;  eye;  gall bladder;  heart;  hippocampus;  hypothalamus;  kidney;  large intestine;  liver;  lung;  lymph node;  mammary gland;  olfactory bulb;  ovary;  placenta;  prostate;  salivary gland;  skeletal muscle;  small intestine;  snout epidermis;  spinal cord, lower;  spinal cord, upper;  spleen;  stomach;  striatum;  testis;  thymus;  thyroid;  tongue epidermis;  trachea;  trigeminal;  umbilical cord;  uterus;  10090;  Mus musculus;
Yes|GSE4063|Done|WT vs. Mutant|transcription profiling by array|2017-06-21|108|215|Transcription profiling by array of skeletal muscle from mice mutant for AMP-activated protein kinase gamma3|Analysis of AMPK gamma3-dependent transcriptional responses by analyzing global gene expression in the white portion of the gastrocnemius muscle in AMPK gamma3 knock-out mice and corresponding wild type littermates. .. fasted;  male;  F7;  AMPK gamma3 knock-out;  wild type;  C57BL/6;  white portion of the gastrocnemius muscle;  total RNA;  White portion of the gastrocnemius muscle;  10090;  Mus musculus;
Yes|GSE128|Done|WT vs. Mutant|transcription profiling by array|2018-10-22|68|295|Transcription profiling by array of retinae from mice mutant for Rp1|Mice were a mixed background between 129/SvEv and C57BL/6. Rp1 knockout mice (Rp1-/-) and wildtype littermates examined. At P7, P10, P14, P18 and P21, mice were sacrificed and retinas removed. Each RNA sample included a pool of neural retinas from 3-4 mice. Retinas were all collected at 1-2 pm. .. none;  total RNA;  retina;  retinal;  10090;  Mus musculus;
Yes|GSE7381|Done|WT vs. Mutant|transcription profiling by array|2017-05-12|107|1612|Transcription profiling of mouse skins of embryos lacking Grainyhead-like epithelial transactivator (Get-1)|Defective permeability barrier is an important feature of many skin diseases and causes mortality in premature infants. To investigate the control of barrier formation, we characterized the epidermally expressed Grainyhead-like epithelial transactivator (Get-1)/Grhl3, a conserved mammalian homologue of Grainyhead, which plays important roles in cuticle development in Drosophila. Get-1 interacts with the LIM-only protein LMO4, which is co-expressed in the developing mammalian epidermis. The epidermis of Get-1(-/-) mice showed a severe barrier function defect associated with impaired differentiation of the epidermis, including defects of the stratum corneum, extracellular lipid composition and cell adhesion in the granular layer. The Get-1 mutation affects multiple genes linked to terminal differentiation and barrier function, including most genes of the epidermal differentiation complex. Get-1 therefore directly or indirectly regulates a broad array of epidermal differentiation genes encoding structural proteins, lipid metabolizing enzymes and cell adhesion molecules. Although deletion of the LMO4 gene had no overt consequences for epidermal development, the epidermal terminal differentiation defect in mice deleted for both Get-1 and LMO4 is much more severe than in Get-1(-/-) mice with striking impairment of stratum corneum formation. These findings indicate that the Get-1 and LMO4 genes interact functionally to regulate epidermal terminal differentiation. Experiment Overall Design: The same region of the mouse back skin was excised from three Get1 +/+ and three Get1 -/- mice at e18.5. .. e18;  Strain C57BL/6;  Backskin;  total RNA;  Backskin_Get1_e18;  10090;  Mus musculus;
Yes|GSE977|Done|Baseline|transcription profiling by array|2019-05-23|87|96|Transcription profiling of olfactory bulbs from GFAP transgenic mice and wild type mice|Olfactory bulb transcript levels for GFAP transgenic mice compared to wildtype at 3wks and 4mos. .. none;  total RNA;  olfactory bulb;  10090;  Mus musculus;
Yes|GSE929|Done|Baseline|transcription profiling by array|2019-02-15|120|742|Transcription profiling of different regions of E16.5 mouse cerebral cortex to identify region- and layer-specific genes|The mammalian neocortex develops layer organizations with regional differences represented by expression of multiple genes at embryonic stages. These genes could play important roles in the formation of areal cyto-architecture, yet, the number of genes identified so far is not sufficient to explain such intricate processes. Here we collected five regions; the medial, dorsal, lateral, rostral, and occipital, from the dissected E16.5 mouse cerebral cortex and performed extensive gene expression analysis using the Affymetrix U74Av2 array.  Keywords = mouse Keywords = cortex Keywords = development Keywords = regional Keywords = gene expression Keywords = medial Keywords = dorsal Keywords = lateral Keywords = rostral Keywords = occipital .. none;  total RNA;  E16.5 mouse cortex;  10090;  Mus musculus;
Yes|GSE897|Done|WT vs. Mutant|transcription profiling by array|2017-02-17|111|82|Transcription profiling of six skeletal muscle types in dystrophin-deficient mice mdx, mdx5cv and wildtype mice|Expression profiles of six skeletal muscle types in mdx, mdx5cv and wildtype mice. .. none;  total RNA;  8 wk old male C57BL10;  8 wk old male C57BL10 EDL;  8 wk old male C57BL10 TA;  8 wk old male C57BL10 diaphragm;  8 wk old male C57BL10 gastroc;  8 wk old male C57BL10 quad;  8 wk old male C57BL10 soleus;  8 wk old male mdx EDL;  8 wk old male mdx TA;  8 wk old male mdx diaphragm;  8 wk old male mdx gastroc;  8 wk old male mdx quad;  8 wk old male mdx soleus;  8 wk old male mdx5cv EDL;  8 wk old male mdx5cv TA;  8 wk old male mdx5cv diaphragm;  8 wk old male mdx5cv gastroc;  8 wk old male mdx5cv quad;  8 wk old male mdx5cv soleus;  8wk old male mdx diaphragm;  10090;  Mus musculus;
