#meta  sampleObjType=ClassifiedHtSample moduleName=htMLsample
knownClassName|ID|curationState|studytype|experimenttype|modification_date|titleLength|descriptionLength|title|description
Yes|GSE1611|Done|WT vs. Mutant|transcription profiling by array|2017-10-13|139|281|transcript profil by array of __mice ts1cje __mice model of down syndrom and euploid __mice cerebellum dure __mouse_ag develop|transcriptom analysi of ts1cje __mice model of down syndrom and euploid __mice cerebellum dure __mouse_ag develop keyword down syndrom keyword chromosom keyword transcriptom keyword microarray keyword cerebellum keyword develop keyword other p0 __mouse_ag stage p15 __mouse_ag stage p30 __mouse_ag stage total rna ts1cje segment trisomi of chromosom euploid pool eu_p0 pool eu_p15 pool eu_p30 pool ts1cje_p0 pool ts1cje_p15 pool ts1cje_p30 mus musculus cerebellum
Yes|GSE9954|Done|Baseline|transcription profiling by array|2021-08-05|77|224|transcript profil by array of __mice __escel and tissu|we use microarray to compar gene express across differ __mice tissu keyword other differ tissu were dissect from week old c57bl6 __mice for rna extract and hybrid on affymetrix microarray c57bl6 femal __mice week old c57bl6 male __mice c57bl6 male __mice week old c57bl6 __mice total rna __mice __escel __mice adipos tissu __mice adren gland __mice bone marrow __mice brain __mice diaphragm __mice eye __mice __mouse_ag __mice heart __mice kidney __mice liver __mice lung __mice muscl __mice ovari __mice pituitari gland __mice placenta __mice salivari gland __mice semin vesicl __mice small intestin __mice spleen __mice testi __mice thymus mus musculus
Yes|GSE642|Done|WT vs. Mutant|transcription profiling by array|2018-10-25|143|143|transcript profil of __mice db db diabet kidney to identifi adipos differenti relat protein and regul of lipid homeostasi|rna of kidney was extract use quiagen rneasi kit target were produc use standard affymetrix procedur from about of total rna none total rna kidney mus musculus
Yes|GSE97|Done|Baseline|transcription profiling by array|2020-06-01|204|1177|transcript profil of human and __mice sampl across divers array of tissu organ and __cell_lin to provid preliminari but substanti descript of the normal mammalian transcriptom|high throughput gene express profil has becom an import tool for investig transcript activ in varieti of biolog sampl to date the vast major of these experi have focus on specif biolog process and perturb here we have generat and analyz gene express from set of sampl span broad rang of biolog condit specif we profil gene express from human and __mice sampl across divers array of tissu organ and __cell_lin becaus these sampl predomin come from the normal physiolog state in the human and __mice this dataset repres preliminari but substanti descript of the normal mammalian transcriptom we have use this dataset to illustr method of mine these data and to reveal insight into molecular and physiolog gene function mechan of transcript regul diseas etiolog and compar genom final to allow the scientif communiti to use this resourc we have built free and public access websit that integr data visual and curat of current gene annot none total rna adipos tissu adren gland amygdala bladder bone bone marrow brown fat cerebellum cortex cortex frontal digit dorsal root ganglion epidermi eye gall bladder heart hippocampus hypothalamus kidney larg intestin liver lung lymph node mammari gland olfactori bulb ovari placenta prostat salivari gland skelet muscl small intestin snout epidermi spinal cord lower spinal cord upper spleen stomach striatum testi thymus thyroid tongu epidermi trachea trigemin umbil cord uterus mus musculus
Yes|GSE4063|Done|WT vs. Mutant|transcription profiling by array|2017-06-21|108|215|transcript profil by array of skelet muscl from __mice __genotyp for amp activ protein kinas gamma3|analysi of ampk gamma3 depend transcript respons by analyz global gene express in the white portion of the gastrocnemius muscl in ampk gamma3 __knockout __mice and correspond __genotyp litterm fast male f7 ampk gamma3 __knockout __genotyp c57bl white portion of the gastrocnemius muscl total rna white portion of the gastrocnemius muscl mus musculus
Yes|GSE128|Done|WT vs. Mutant|transcription profiling by array|2018-10-22|68|295|transcript profil by array of retina from __mice __genotyp for rp1|__mice were mix background between svev and c57bl rp1 __knockout __mice rp1 __genotyp and __genotyp litterm examin at p7 p10 p14 p18 and p21 __mice were sacrif and retina remov each rna sampl includ pool of neural retina from __mice retina were all collect at pm none total rna retina retin mus musculus
Yes|GSE7381|Done|WT vs. Mutant|transcription profiling by array|2017-05-12|107|1612|transcript profil of __mice skin of embryo lack grainyhead like epitheli transactiv get|defect permeabl barrier is an import featur of mani skin diseas and caus mortal in prematur infant to investig the control of barrier format we character the epiderm express grainyhead like epitheli transactiv get grhl3 conserv mammalian homologu of grainyhead which play import role in cuticl develop in drosophila get interact with the lim onli protein lmo4 which is co express in the develop mammalian epidermi the epidermi of get __genotyp __mice show sever barrier function defect associ with impair differenti of the epidermi includ defect of the stratum corneum extracellular lipid composit and cell adhes in the granular layer the get __genotyp affect multipl gene link to termin differenti and barrier function includ most gene of the epiderm differenti complex get therefor direct or indirect regul broad array of epiderm differenti gene encod structur protein lipid metabol enzym and cell adhes molecul although delet of the lmo4 gene had no overt consequ for epiderm develop the epiderm termin differenti defect in __mice delet for both get and lmo4 is much more sever than in get __genotyp __mice with strike impair of stratum corneum format these find indic that the get and lmo4 gene interact function to regul epiderm termin differenti experi overal design the same region of the __mice back skin was excis from three get1 __genotyp and three get1 __genotyp __mice at __mouse_ag __mouse_ag strain c57bl backskin total rna backskin_get1_e18 mus musculus
Yes|GSE977|Done|Baseline|transcription profiling by array|2019-05-23|87|96|transcript profil of olfactori bulb from gfap transgen __mice and __genotyp __mice|olfactori bulb transcript level for gfap transgen __mice compar to __genotyp at and none total rna olfactori bulb mus musculus
Yes|GSE929|Done|Baseline|transcription profiling by array|2019-02-15|120|742|transcript profil of differ region of __mouse_ag __mice cerebr cortex to identifi region and layer specif gene|the mammalian neocortex develop layer organ with region differ repres by express of multipl gene at embryon stage these gene could play import role in the format of areal cyto architectur yet the number of gene identifi so far is not suffici to explain such intric process here we collect five region the medial dorsal later rostral and occipit from the dissect __mouse_ag __mice cerebr cortex and perform extens gene express analysi use the affymetrix u74av2 array keyword __mice keyword cortex keyword develop keyword region keyword gene express keyword medial keyword dorsal keyword later keyword rostral keyword occipit none total rna __mouse_ag __mice cortex mus musculus
Yes|GSE897|Done|WT vs. Mutant|transcription profiling by array|2017-02-17|111|82|transcript profil of six skelet muscl type in dystrophin defici __mice mdx mdx5cv and __genotyp __mice|express profil of six skelet muscl type in mdx mdx5cv and __genotyp __mice none total rna wk old male c57bl10 wk old male c57bl10 edl wk old male c57bl10 ta wk old male c57bl10 diaphragm wk old male c57bl10 gastroc wk old male c57bl10 quad wk old male c57bl10 soleus wk old male mdx edl wk old male mdx ta wk old male mdx diaphragm wk old male mdx gastroc wk old male mdx quad wk old male mdx soleus wk old male mdx5cv edl wk old male mdx5cv ta wk old male mdx5cv diaphragm wk old male mdx5cv gastroc wk old male mdx5cv quad wk old male mdx5cv soleus old male mdx diaphragm mus musculus
Yes|GSE3129|Done|WT vs. Mutant|transcription profiling by array|2018-11-13|130|537|transcript profil of liver from age and young snell dwarf __mice and their __genotyp control to identifi genet signatur|to compar and contrast genet signatur from liver of young and age snell dwarf __mice with their __genotyp control submitter_cit boylston jame deford john papaconstantinou identif of longev associ gene in long live snell and ame dwarf __mice __mouse_ag experi overal design microgram of liver rna was isol from each of age dwarf __genotyp and young dwarf __genotyp __mice for use in hybrid of affymetrix gene chip accord to affymetrix protocol pit __genotyp snell result in long live dwarf pheontyp __genotyp control for pit __genotyp snell result in long live dwarf pheontyp total rna liver mus musculus
